Food_Item,CO2_Emission,Category
buffalo bone free meat,78.8,Meats
beef bone free meat,25.75,Meats
lamb bone free meat,25.23,Meats
lobster,20.25,Fish
beef meat with bone,17.96,Meats
pork sausages,17.94,Meats
pecorino,17.15,Dairy
lamb meat with bone,16.7,Meats
grana padano,15.34,Dairy
prawns/shrimps (f),15.07,Fish
turbot,14.51,Fish
sole (f),14.28,Fish
megrim,14.15,Fish
swardfish,12.84,Fish
parmigiano reggiano,12.54,Dairy
porbeagle,11.44,Fish
shark,11.44,Fish
ceddar,11.21,Dairy
hake,10.4,Fish
asiago,10.24,Dairy
cheese,8.93,Dairy
cheese semi-hard,8.65,Dairy
butter,8.48,Dairy
rhombus,8.41,Fish
goat cheese,8.35,Dairy
coffee parchment,8.29,Processed
mozzarella,8.2,Dairy
emmental,8.2,Dairy
fork beard,8.01,Fish
pork ham,7.95,Meats
octopus (f),7.88,Fish
camembert,7.55,Dairy
raspberry,7.35,Agriculture
prawns/shrimps,7.04,Fish
rock fish,6.94,Fish
squid,6.91,Fish
pomfret,6.63,Fish
chocolate,6.6,Processed
ling,6.45,Fish
flatfish,6.41,Fish
plaice,6.13,Fish
diamond fish,6.02,Fish
octopus,5.8,Fish
pork bone free meat,5.72,Meats
mascarpone,5.7,Dairy
krill,5.54,Fish
cream,5.45,Dairy
sole,5.4,Fish
coffee ground,5.13,Processed
cuttlefish,5.05,Fish
fish mixed,4.99,Fish
stracchino,4.92,Dairy
almond covered with chocolate,4.8,Processed
trout (f),4.38,Fish
rabbit meat with bone,4.31,Meats
vanilla,4.3,Processed
trout,4.2,Fish
kangaroo meat,4.1,Meats
duck meat bone free,4.1,Meats
turkey meat bone free,4.08,Meats
bacon,4.03,Meats
pork neck,4.03,Meats
eel,3.88,Fish
pepper,3.73,Agriculture
haddock (f),3.72,Fish
chicken bone free meat,3.68,Meats
tuna,3.68,Fish
milk chocolate,3.6,Processed
sea-bass,3.6,Fish
buffalo milk,3.57,Dairy
"yogurt, lactose free",3.47,Dairy
pork meat with bone,3.44,Meats
hazelnut covered with chocolate,3.43,Processed
ricotta,3.4,Dairy
salmon,3.37,Fish
yeast dried,3.29,Processed
olive oil,3.27,Processed
eggs,3.2,Dairy
fig juice (i),3.2,Processed
egg pasta,3.15,Processed
haddock,3.1,Fish
cod (f),3.03,Fish
blueberry juice (i),3.0,Processed
almond paste,2.98,Processed
mango juice (i),2.96,Processed
eggplant,2.9,Agriculture
peanut oil,2.9,Processed
strawberry,2.88,Agriculture
cranberry juice (i),2.88,Processed
"yogurt, flavoured",2.85,Dairy
kiwi juice (i),2.84,Processed
apple juice (i),2.84,Processed
mealworms,2.84,Meats
chicken meat with bone,2.82,Meats
pineapple juice (i),2.78,Processed
green beans (f),2.74,Processed
pesto without garlic,2.72,Processed
hazelnut cream,2.71,Processed
dark chocolate,2.71,Processed
pesto,2.71,Processed
strawberry juice (i),2.68,Processed
lettuce,2.67,Agriculture
whiting,2.66,Fish
tuna (f),2.64,Fish
cornflakes,2.64,Processed
flathead,2.56,Fish
cucumber,2.55,Agriculture
quorne,2.5,Processed
exotic fruit,2.43,Agriculture
palm oil,2.43,Processed
exotic fruit,2.43,Agriculture
tomato,2.43,Agriculture
barnacle,2.3,Fish
tofu,2.27,Processed
fish stick (f),2.26,Fish
rice,2.19,Agriculture
cakes and croissant,2.14,Processed
hake fish stick,2.14,Fish
pollock stick (f),2.14,Fish
cod fish stick,2.14,Fish
turkey meat with bone,2.13,Meats
gerkin,2.12,Agriculture
tuna in can,2.1,Fish
duck meat with bone,2.07,Meats
walnut,2.06,Agriculture
mushroom,2.06,Agriculture
mayonnaise,2.04,Processed
buckwheat flour,1.96,Processed
cocoa cakes and croissant,1.94,Processed
almond,1.88,Agriculture
peanut paste,1.84,Processed
mackerel,1.8,Fish
rapeseed oil,1.79,Processed
soybean oil,1.79,Processed
coconut,1.78,Agriculture
beans (f),1.77,Processed
zucchini,1.77,Agriculture
honey,1.74,Dairy
"yogurt, white",1.69,Dairy
hazelnut paste,1.69,Processed
soy cream,1.62,Processed
salmon (f),1.61,Fish
carrots canned,1.6,Processed
pistachio,1.6,Agriculture
chocolate or cream filled cookies,1.53,Processed
emu bone free meat,1.5,Meats
mung bean flour,1.49,Processed
soy burger,1.48,Processed
tomato chopped,1.47,Processed
ketchup,1.46,Processed
green beans in can,1.45,Processed
goat milk,1.44,Dairy
pollock,1.4,Fish
simple cookies,1.39,Processed
margarine*,1.39,Processed
cashew nut,1.38,Agriculture
millet flour,1.37,Processed
soy yogurt,1.36,Processed
corn canned,1.36,Processed
crispbread,1.35,Processed
plain crackers,1.35,Processed
zucchini (f),1.35,Processed
sorghum flour,1.33,Processed
azuki bean flour,1.32,Processed
bread frozen,1.31,Processed
cow milk,1.31,Dairy
maize flour,1.31,Processed
herring (f),1.3,Fish
tomato peeled,1.3,Processed
tomato arrabbiata,1.24,Processed
herring,1.24,Fish
pasta,1.21,Processed
pepper,1.18,Agriculture
raspberries (f),1.18,Processed
pomegranate,1.17,Agriculture
sunflower seed,1.16,Agriculture
peanut butter,1.15,Processed
tomato & basil,1.14,Processed
hazelnut,1.11,Agriculture
pilchard,1.1,Fish
carrob,1.1,Agriculture
tempe’,1.1,Processed
avocado,1.09,Agriculture
mixed fish (f),1.04,Fish
lentil,1.03,Agriculture
tomato puree,1.03,Processed
makerel fish stick,1.02,Fish
ice cream,1.02,Processed
mackerel (f),0.99,Fish
sunflower oil,0.98,Processed
wholegrain crackers,0.97,Processed
quinoa,0.97,Agriculture
beer in glass,0.96,Processed
beet sugar,0.94,Processed
flavored crackers,0.93,Processed
tomato,0.91,Agriculture
pollock (f),0.9,Fish
sardine,0.9,Fish
bread plain,0.89,Processed
sesam seed,0.88,Agriculture
ginger,0.88,Agriculture
sorghum,0.88,Agriculture
cranberry,0.87,Agriculture
oat meal,0.87,Processed
wine red (see: box wine),0.87,Processed
millet,0.86,Agriculture
gooseberry,0.84,Agriculture
strawberry,0.84,Agriculture
asparagus,0.83,Agriculture
peanut,0.83,Agriculture
yeast compressed,0.82,Processed
banana,0.82,Agriculture
raisin,0.81,Agriculture
chilly,0.8,Agriculture
palm nut,0.8,Agriculture
rape seed,0.78,Agriculture
blueberry,0.78,Agriculture
soy milk,0.78,Processed
bread whole,0.77,Processed
chickpea,0.77,Agriculture
snails (escargot),0.73,Meats
garlic,0.71,Agriculture
bread multicereal,0.7,Processed
zucchini,0.7,Agriculture
beer in can,0.69,Processed
oat,0.67,Agriculture
rice milk,0.66,Processed
pepper,0.65,Agriculture
currant,0.64,Agriculture
olives,0.64,Agriculture
raspberry,0.63,Agriculture
soy meal,0.62,Processed
cane sugar,0.62,Processed
melon,0.61,Agriculture
strawberry,0.61,Agriculture
date,0.6,Agriculture
coffee drip filtered,0.6,Processed
wheat,0.57,Agriculture
broccoli,0.57,Agriculture
soybean,0.56,Agriculture
espresso,0.55,Processed
pineapple,0.55,Agriculture
avocado,0.54,Agriculture
vegetables,0.54,Agriculture
beer modular can,0.53,Processed
wheat plain flour,0.52,Processed
watermelon,0.52,Agriculture
green bean (fresh),0.52,Agriculture
pomelo,0.51,Agriculture
yeast liquid,0.5,Processed
pear juice,0.49,Processed
mineral water,0.49,Processed
kiwi,0.49,Agriculture
cowpea,0.49,Agriculture
barley,0.48,Agriculture
maize,0.48,Agriculture
fennel,0.48,Agriculture
mixed nuts,0.47,Agriculture
durum wheat,0.47,Processed
graham flour,0.47,Processed
orange juice,0.46,Processed
mussels,0.46,Fish
cherry,0.46,Agriculture
mandarin,0.45,Agriculture
tomato,0.45,Agriculture
pea,0.45,Agriculture
wine white (see: box wine),0.44,Processed
chestnut,0.44,Agriculture
bean,0.43,Agriculture
blackberry,0.42,Agriculture
almond milk,0.42,Processed
clementine,0.41,Agriculture
lettuce,0.41,Agriculture
coconut milk,0.41,Processed
rockmelon,0.39,Agriculture
peach,0.39,Agriculture
rye,0.38,Agriculture
tangerin,0.38,Agriculture
whole wheat flour,0.36,Processed
turnip,0.35,Agriculture
spinach,0.34,Agriculture
banana,0.34,Agriculture
coffee soluble powder,0.33,Processed
artichoke,0.33,Agriculture
celery,0.32,Agriculture
pomegranate,0.32,Agriculture
cauliflower,0.31,Agriculture
mango,0.31,Agriculture
grapes,0.31,Agriculture
apricot,0.3,Agriculture
orange,0.3,Agriculture
swede,0.29,Agriculture
starchy roots,0.29,Agriculture
guava,0.28,Agriculture
pineapple,0.28,Agriculture
green bean (fresh),0.28,Agriculture
sweet potato,0.27,Agriculture
carrots (f),0.27,Processed
pear,0.27,Agriculture
fig,0.26,Agriculture
plum,0.26,Agriculture
apple,0.25,Agriculture
beetroot,0.25,Agriculture
pumpkin,0.24,Agriculture
carrot,0.24,Agriculture
potato,0.24,Agriculture
cabagge,0.23,Agriculture
onion,0.22,Agriculture
lemon,0.22,Agriculture
lime,0.22,Agriculture
gerkin,0.21,Agriculture
eggplant,0.19,Agriculture
radish,0.15,Agriculture
beans in can,0.11,Processed
